index,name,r,g,b
60,Right_VentralDC,165,42,42
61,Right_undetermined,135,206,235
62,Right_vessel,160,32,240
63,Right_choroid_plexus,0,200,221
64,Right_F3orb,100,50,100
65,Right_lOg,135,50,74
66,Right_aOg,122,135,50
67,Right_mOg,51,50,135
68,Right_pOg,74,155,60
69,Right_Stellate,120,62,43
70,Right_Porg,74,155,60
71,Right_Aorg,122,135,50
72,5th_Ventricle,120,190,150
73,Left_Interior,122,135,50
74,Right_Interior,122,135,50
77,WM_hypointensities,200,70,255
78,Left_WM_hypointensities,255,148,10
79,Right_WM_hypointensities,255,148,10
80,non_WM_hypointensities,164,108,226
81,Left_non_WM_hypointensities,164,108,226
82,Right_non_WM_hypointensities,164,108,226
83,Left_F1,255,218,185
84,Right_F1,255,218,185
85,Optic_Chiasm,234,169,30
192,Corpus_Callosum,250,255,50
86,Left_future_WMSA,200,120,255
87,Right_future_WMSA,200,121,255
88,future_WMSA,200,122,255
96,Left_Amygdala_Anterior,205,10,125
97,Right_Amygdala_Anterior,205,10,125
98,Dura,160,32,240
100,Left_wm_intensity_abnormality,124,140,178
101,Left_caudate_intensity_abnormality,125,140,178
102,Left_putamen-intensity_abnormality,126,140,178
103,Left_accumbens_intensity_abnormality,127,140,178
104,Left_pallidum_intensity_abnormality,124,141,178
105,Left_amygdala_intensity_abnormality,124,142,178
106,Left_hippocampus_intensity_abnormality,124,143,178
107,Left_thalamus_intensity_abnormality,124,144,178
108,Left_VDC_intensity_abnormality,124,140,179
109,Right_wm_intensity_abnormality,124,140,178
110,Right_caudate_intensity_abnormality,125,140,178
111,Right_putamen_intensity_abnormality,126,140,178
112,Right_accumbens_intensity_abnormality,127,140,178
113,Right_pallidum_intensity_abnormality,124,141,178
114,Right_amygdala_intensity_abnormality,124,142,178
115,Right_hippocampus_intensity_abnormality,124,143,178
116,Right_thalamus_intensity_abnormality,124,144,178
117,Right_VDC_intensity_abnormality,124,140,179
118,Epidermis,255,20,147
119,Conn_Tissue,205,179,139
120,SC_Fat_Muscle,238,238,209
121,Cranium,200,200,200
122,CSF_SA,74,255,74
123,Muscle,238,0,0
124,Ear,0,0,139
125,Adipose,173,255,47
126,Spinal_Cord,133,203,229
127,Soft_Tissue,26,237,57
128,Nerve,34,139,34
129,Bone,30,144,255
130,Air,147,19,173
131,Orbital_Fat,238,59,59
132,Tongue,221,39,200
133,Nasal_Structures,238,174,238
134,Globe,255,0,0
135,Teeth,72,61,139
136,Left_Caudate_Putamen,21,39,132
137,Right_Caudate_Putamen,21,39,132
138,Left_Claustrum,65,135,20
139,Right_Claustrum,65,135,20
140,Cornea,134,4,160
142,Diploe,221,226,68
143,Vitreous_Humor,255,255,254
144,Lens,52,209,226
145,Aqueous_Humor,239,160,223
146,Outer_Table,70,130,180
147,Inner_Table,70,130,181
148,Periosteum,139,121,94
149,Endosteum,224,224,224
150,R_C_S,255,0,0
151,Iris,205,205,0
152,SC_Adipose_Muscle,238,238,209
153,SC_Tissue,139,121,94
154,Orbital_Adipose,238,59,59
155,Left_IntCapsule_Ant,238,59,59
156,Right_IntCapsule_Ant,238,59,59
157,Left_IntCapsule_Pos,62,10,205
158,Right_IntCapsule_Pos,62,10,205
159,Left_Cerebral_WM_unmyelinated,0,118,14
160,Right_Cerebral_WM_unmyelinated,0,118,14
161,Left_Cerebral_WM_myelinated,220,216,21
162,Right_Cerebral_WM_myelinated,220,216,21
163,Left_Subcortical_Gray_Matter,122,186,220
164,Right_Subcortical_Gray_Matter,122,186,220
165,Skull,255,165,0
166,Posterior_fossa,14,48,255
167,Scalp,166,42,42
168,Hematoma,121,18,134
169,Left_Basal_Ganglia,236,13,127
176,Right_Basal_Ganglia,236,13,126
170,brainstem,119,159,176
171,DCG,119,0,176
172,Vermis,119,100,176
173,Midbrain,119,200,176
174,Pons,119,159,100
175,Medulla,119,159,200
180,Left_Cortical_Dysplasia,73,61,139
181,Right_Cortical_Dysplasia,73,62,139
193,Left_hippocampal_fissure,0,196,255
194,Left_CADG_head,255,164,164
195,Left_subiculum,196,196,0
196,Left_fimbria,0,100,255
197,Right_hippocampal_fissure,128,196,164
198,Right_CADG_head,0,126,75
199,Right_subiculum,128,96,64
200,Right_fimbria,0,50,128
201,alveus,255,204,153
202,perforant_pathway,255,128,128
203,parasubiculum,255,255,0
204,presubiculum,64,0,64
205,subiculum,0,0,255
206,CA1,255,0,0
207,CA2,128,128,255
208,CA3,0,128,0
209,CA4,196,160,128
210,GC_ML_DG,32,200,255
211,HATA,128,255,128
212,fimbria,204,153,204
213,lateral_ventricle,121,17,136
214,molecular_layer_HP,128,0,0
215,hippocampal_fissure,128,32,255
216,entorhinal_cortex,255,204,102
217,molecular_layer_subiculum,128,128,128
218,Amygdala,104,255,255
219,Cerebral_White_Matter,0,226,0
220,Cerebral_Cortex,205,63,78
221,Inf_Lat_Vent,197,58,250
222,Perirhinal,33,150,250
223,Cerebral_White_Matter_Edge,226,0,0
224,Background,100,100,100
225,Ectorhinal,197,150,250
226,HP_tail,170,170,255
250,Fornix,255,0,0
251,CC_Posterior,0,0,64
252,CC_Mid_Posterior,0,0,112
253,CC_Central,0,0,160
254,CC_Mid_Anterior,0,0,208
255,CC_Anterior,0,0,255
331,Aorta,255,0,0
332,Left_Common_IliacA,255,80,0
333,Right_Common_IliacA,255,160,0
334,Left_External_IliacA,255,255,0
335,Right_External_IliacA,0,255,0
336,Left_Internal_IliacA,255,0,160
337,Right_Internal_IliacA,255,0,255
338,Left_Lateral_SacralA,255,50,80
339,Right_Lateral_SacralA,80,255,50
340,Left_ObturatorA,160,255,50
341,Right_ObturatorA,160,200,255
342,Left_Internal_PudendalA,0,255,160
343,Right_Internal_PudendalA,0,0,255
344,Left_UmbilicalA,80,50,255
345,Right_UmbilicalA,160,0,255
346,Left_Inf_RectalA,255,210,0
347,Right_Inf_RectalA,0,160,255
348,Left_Common_IliacV,255,200,80
349,Right_Common_IliacV,255,200,160
350,Left_External_IliacV,255,80,200
351,Right_External_IliacV,255,160,200
352,Left_Internal_IliacV,30,255,80
353,Right_Internal_IliacV,80,200,255
354,Left_ObturatorV,80,255,200
355,Right_ObturatorV,195,255,200
356,Left_Internal_PudendalV,120,200,20
357,Right_Internal_PudendalV,170,10,200
358,Pos_Lymph,20,130,180
359,Neg_Lymph,20,180,130
400,V1,206,62,78
401,V2,121,18,134
402,BA44,199,58,250
403,BA45,1,148,0
404,BA4a,221,248,164
405,BA4p,231,148,34
406,BA6,1,118,14
407,BA2,120,118,14
408,BA1_old,123,186,221
409,BAun2,238,13,177
410,BA1,123,186,220
411,BA2b,138,13,206
412,BA3a,238,130,176
413,BA3b,218,230,76
414,MT,38,213,176
415,AIPS_AIP_l,1,225,176
416,AIPS_AIP_r,1,225,176
417,AIPS_VIP_l,200,2,100
418,AIPS_VIP_r,200,2,100
419,IPL_PFcm_l,5,200,90
420,IPL_PFcm_r,5,200,90
421,IPL_PF_l,100,5,200
422,IPL_PFm_l,25,255,100
423,IPL_PFm_r,25,255,100
424,IPL_PFop_l,230,7,100
425,IPL_PFop_r,230,7,100
426,IPL_PF_r,100,5,200
427,IPL_PFt_l,150,10,200
428,IPL_PFt_r,150,10,200
429,IPL_PGa_l,175,10,176
430,IPL_PGa_r,175,10,176
431,IPL_PGp_l,10,100,255
432,IPL_PGp_r,10,100,255
433,Visual_V3d_l,150,45,70
434,Visual_V3d_r,150,45,70
435,Visual_V4_l,45,200,15
436,Visual_V4_r,45,200,15
437,Visual_V5_b,227,45,100
438,Visual_VP_l,227,45,100
439,Visual_VP_r,227,45,100
498,wmsa,143,188,143
499,other_wmsa,255,248,220
500,right_CA2_3,17,85,136
501,right_alveus,119,187,102
502,right_CA1,204,68,34
503,right_fimbria,204,0,255
504,right_presubiculum,221,187,17
505,right_hippocampal_fissure,153,221,238
506,right_CA4_DG,51,17,17
507,right_subiculum,0,119,85
508,right_fornix,20,100,200
550,left_CA2_3,17,85,137
551,left_alveus,119,187,103
552,left_CA1,204,68,35
553,left_fimbria,204,0,254
554,left_presubiculum,221,187,16
555,left_hippocampal_fissure,153,221,239
556,left_CA4_DG,51,17,18
557,left_subiculum,0,119,86
558,left_fornix,20,100,201
600,Tumor,254,254,254
601,Cbm_Left_I_IV,70,130,180
602,Cbm_Right_I_IV,245,245,245
603,Cbm_Left_V,205,62,78
604,Cbm_Right_V,120,18,134
605,Cbm_Left_VI,196,58,250
606,Cbm_Vermis_VI,0,148,0
607,Cbm_Right_VI,220,248,164
608,Cbm_Left_CrusI,230,148,34
609,Cbm_Vermis_CrusI,0,118,14
610,Cbm_Right_CrusI,0,118,14
611,Cbm_Left_CrusII,122,186,220
612,Cbm_Vermis_CrusII,236,13,176
613,Cbm_Right_CrusII,12,48,255
614,Cbm_Left_VIIb,204,182,142
615,Cbm_Vermis_VIIb,42,204,164
616,Cbm_Right_VIIb,119,159,176
617,Cbm_Left_VIIIa,220,216,20
618,Cbm_Vermis_VIIIa,103,255,255
619,Cbm_Right_VIIIa,80,196,98
620,Cbm_Left_VIIIb,60,58,210
621,Cbm_Vermis_VIIIb,60,58,210
622,Cbm_Right_VIIIb,60,58,210
623,Cbm_Left_IX,60,58,210
624,Cbm_Vermis_IX,60,60,60
625,Cbm_Right_IX,255,165,0
626,Cbm_Left_X,255,165,0
627,Cbm_Vermis_X,0,255,127
628,Cbm_Right_X,165,42,42
640,Cbm_Right_I_V_med,204,0,0
641,Cbm_Right_I_V_mid,255,0,0
642,Cbm_Right_VI_med,0,0,255
643,Cbm_Right_VI_mid,30,144,255
644,Cbm_Right_VI_lat,100,212,237
645,Cbm_Right_CrusI_med,218,165,32
646,Cbm_Right_CrusI_mid,255,215,0
647,Cbm_Right_CrusI_lat,255,255,166
648,Cbm_Right_CrusII_med,153,0,204
649,Cbm_Right_CrusII_mid,153,141,209
650,Cbm_Right_CrusII_lat,204,204,255
651,Cbm_Right_7med,31,212,194
652,Cbm_Right_7mid,3,255,237
653,Cbm_Right_7lat,204,255,255
654,Cbm_Right_8med,86,74,147
655,Cbm_Right_8mid,114,114,190
656,Cbm_Right_8lat,184,178,255
657,Cbm_Right_PUNs,126,138,37
658,Cbm_Right_TONs,189,197,117
659,Cbm_Right_FLOs,240,230,140
660,Cbm_Left_I_V_med,204,0,0
661,Cbm_Left_I_V_mid,255,0,0
662,Cbm_Left_VI_med,0,0,255
663,Cbm_Left_VI_mid,30,144,255
664,Cbm_Left_VI_lat,100,212,237
665,Cbm_Left_CrusI_med,218,165,32
666,Cbm_Left_CrusI_mid,255,215,0
667,Cbm_Left_CrusI_lat,255,255,166
668,Cbm_Left_CrusII_med,153,0,204
669,Cbm_Left_CrusII_mid,153,141,209
670,Cbm_Left_CrusII_lat,204,204,255
671,Cbm_Left_7med,31,212,194
672,Cbm_Left_7mid,3,255,237
673,Cbm_Left_7lat,204,255,255
674,Cbm_Left_8med,86,74,147
675,Cbm_Left_8mid,114,114,190
676,Cbm_Left_8lat,184,178,255
677,Cbm_Left_PUNs,126,138,37
678,Cbm_Left_TONs,189,197,117
679,Cbm_Left_FLOs,240,230,140
701,CSF_FSL_FAST,120,18,134
702,GrayMatter_FSL_FAST,205,62,78
703,WhiteMatter_FSL_FAST,0,225,0
1000,ctx_lh_unknown,25,5,25
1001,ctx_lh_bankssts,25,100,40
1002,ctx_lh_caudalanteriorcingulate,125,100,160
1003,ctx_lh_caudalmiddlefrontal,100,25,0
1004,ctx_lh_corpuscallosum,120,70,50
1005,ctx_lh_cuneus,220,20,100
1006,ctx_lh_entorhinal,220,20,10
1007,ctx_lh_fusiform,180,220,140
1008,ctx_lh_inferiorparietal,220,60,220
1009,ctx_lh_inferiortemporal,180,40,120
1010,ctx_lh_isthmuscingulate,140,20,140
1011,ctx_lh_lateraloccipital,20,30,140
1012,ctx_lh_lateralorbitofrontal,35,75,50
1013,ctx_lh_lingual,225,140,140
1014,ctx_lh_medialorbitofrontal,200,35,75
1015,ctx_lh_middletemporal,160,100,50
1016,ctx_lh_parahippocampal,20,220,60
1017,ctx_lh_paracentral,60,220,60
1018,ctx_lh_parsopercularis,220,180,140
1019,ctx_lh_parsorbitalis,20,100,50
1020,ctx_lh_parstriangularis,220,60,20
1021,ctx_lh_pericalcarine,120,100,60
1022,ctx_lh_postcentral,220,20,20
1023,ctx_lh_posteriorcingulate,220,180,220
1024,ctx_lh_precentral,60,20,220
1025,ctx_lh_precuneus,160,140,180
1026,ctx_lh_rostralanteriorcingulate,80,20,140
1027,ctx_lh_rostralmiddlefrontal,75,50,125
1028,ctx_lh_superiorfrontal,20,220,160
1029,ctx_lh_superiorparietal,20,180,140
1030,ctx_lh_superiortemporal,140,220,220
1031,ctx_lh_supramarginal,80,160,20
1032,ctx_lh_frontalpole,100,0,100
1033,ctx_lh_temporalpole,70,70,70
1034,ctx_lh_transversetemporal,150,150,200
1035,ctx_lh_insula,255,192,32
2000,ctx_rh_unknown,25,5,25
2001,ctx_rh_bankssts,25,100,40
2002,ctx_rh_caudalanteriorcingulate,125,100,160
2003,ctx_rh_caudalmiddlefrontal,100,25,0
2004,ctx_rh_corpuscallosum,120,70,50
2005,ctx_rh_cuneus,220,20,100
2006,ctx_rh_entorhinal,220,20,10
2007,ctx_rh_fusiform,180,220,140
2008,ctx_rh_inferiorparietal,220,60,220
2009,ctx_rh_inferiortemporal,180,40,120
2010,ctx_rh_isthmuscingulate,140,20,140
2011,ctx_rh_lateraloccipital,20,30,140
2012,ctx_rh_lateralorbitofrontal,35,75,50
2013,ctx_rh_lingual,225,140,140
2014,ctx_rh_medialorbitofrontal,200,35,75
2015,ctx_rh_middletemporal,160,100,50
2016,ctx_rh_parahippocampal,20,220,60
2017,ctx_rh_paracentral,60,220,60
2018,ctx_rh_parsopercularis,220,180,140
2019,ctx_rh_parsorbitalis,20,100,50
2020,ctx_rh_parstriangularis,220,60,20
2021,ctx_rh_pericalcarine,120,100,60
2022,ctx_rh_postcentral,220,20,20
2023,ctx_rh_posteriorcingulate,220,180,220
2024,ctx_rh_precentral,60,20,220
2025,ctx_rh_precuneus,160,140,180
2026,ctx_rh_rostralanteriorcingulate,80,20,140
2027,ctx_rh_rostralmiddlefrontal,75,50,125
2028,ctx_rh_superiorfrontal,20,220,160
2029,ctx_rh_superiorparietal,20,180,140
2030,ctx_rh_superiortemporal,140,220,220
2031,ctx_rh_supramarginal,80,160,20
2032,ctx_rh_frontalpole,100,0,100
2033,ctx_rh_temporalpole,70,70,70
2034,ctx_rh_transversetemporal,150,150,200
2035,ctx_rh_insula,255,192,32
3000,wm_lh_unknown,230,250,230
3001,wm_lh_bankssts,230,155,215
3002,wm_lh_caudalanteriorcingulate,130,155,95
3003,wm_lh_caudalmiddlefrontal,155,230,255
3004,wm_lh_corpuscallosum,135,185,205
3005,wm_lh_cuneus,35,235,155
3006,wm_lh_entorhinal,35,235,245
3007,wm_lh_fusiform,75,35,115
3008,wm_lh_inferiorparietal,35,195,35
3009,wm_lh_inferiortemporal,75,215,135
3010,wm_lh_isthmuscingulate,115,235,115
3011,wm_lh_lateraloccipital,235,225,115
3012,wm_lh_lateralorbitofrontal,220,180,205
3013,wm_lh_lingual,30,115,115
3014,wm_lh_medialorbitofrontal,55,220,180
3015,wm_lh_middletemporal,95,155,205
3016,wm_lh_parahippocampal,235,35,195
3017,wm_lh_paracentral,195,35,195
3018,wm_lh_parsopercularis,35,75,115
3019,wm_lh_parsorbitalis,235,155,205
3020,wm_lh_parstriangularis,35,195,235
3021,wm_lh_pericalcarine,135,155,195
3022,wm_lh_postcentral,35,235,235
3023,wm_lh_posteriorcingulate,35,75,35
3024,wm_lh_precentral,195,235,35
3025,wm_lh_precuneus,95,115,75
3026,wm_lh_rostralanteriorcingulate,175,235,115
3027,wm_lh_rostralmiddlefrontal,180,205,130
3028,wm_lh_superiorfrontal,235,35,95
3029,wm_lh_superiorparietal,235,75,115
3030,wm_lh_superiortemporal,115,35,35
3031,wm_lh_supramarginal,175,95,235
3032,wm_lh_frontalpole,155,255,155
3033,wm_lh_temporalpole,185,185,185
3034,wm_lh_transversetemporal,105,105,55
3035,wm_lh_insula,254,191,31
4000,wm_rh_unknown,230,250,230
4001,wm_rh_bankssts,230,155,215
4002,wm_rh_caudalanteriorcingulate,130,155,95
4003,wm_rh_caudalmiddlefrontal,155,230,255
4004,wm_rh_corpuscallosum,135,185,205
4005,wm_rh_cuneus,35,235,155
4006,wm_rh_entorhinal,35,235,245
4007,wm_rh_fusiform,75,35,115
4008,wm_rh_inferiorparietal,35,195,35
4009,wm_rh_inferiortemporal,75,215,135
4010,wm_rh_isthmuscingulate,115,235,115
4011,wm_rh_lateraloccipital,235,225,115
4012,wm_rh_lateralorbitofrontal,220,180,205
4013,wm_rh_lingual,30,115,115
4014,wm_rh_medialorbitofrontal,55,220,180
4015,wm_rh_middletemporal,95,155,205
4016,wm_rh_parahippocampal,235,35,195
4017,wm_rh_paracentral,195,35,195
4018,wm_rh_parsopercularis,35,75,115
4019,wm_rh_parsorbitalis,235,155,205
4020,wm_rh_parstriangularis,35,195,235
4021,wm_rh_pericalcarine,135,155,195
4022,wm_rh_postcentral,35,235,235
4023,wm_rh_posteriorcingulate,35,75,35
4024,wm_rh_precentral,195,235,35
4025,wm_rh_precuneus,95,115,75
4026,wm_rh_rostralanteriorcingulate,175,235,115
4027,wm_rh_rostralmiddlefrontal,180,205,130
4028,wm_rh_superiorfrontal,235,35,95
4029,wm_rh_superiorparietal,235,75,115
4030,wm_rh_superiortemporal,115,35,35
4031,wm_rh_supramarginal,175,95,235
4032,wm_rh_frontalpole,155,255,155
4033,wm_rh_temporalpole,185,185,185
4034,wm_rh_transversetemporal,105,105,55
4035,wm_rh_insula,254,191,31
1100,ctx_lh_Unknown,0,0,0
1101,ctx_lh_Corpus_callosum,50,50,50
1102,ctx_lh_G_and_S_Insula_ONLY_AVERAGE,180,20,30
1103,ctx_lh_G_cingulate_Isthmus,60,25,25
1104,ctx_lh_G_cingulate_Main_part,25,60,60
1200,ctx_lh_G_cingulate_caudal_ACC,25,60,61
1201,ctx_lh_G_cingulate_rostral_ACC,25,90,60
1202,ctx_lh_G_cingulate_posterior,25,120,60
1205,ctx_lh_S_cingulate_caudal_ACC,25,150,60
1206,ctx_lh_S_cingulate_rostral_ACC,25,180,60
1207,ctx_lh_S_cingulate_posterior,25,210,60
1210,ctx_lh_S_pericallosal_caudal,25,150,90
1211,ctx_lh_S_pericallosal_rostral,25,180,90
1212,ctx_lh_S_pericallosal_posterior,25,210,90
1105,ctx_lh_G_cuneus,180,20,20
1106,ctx_lh_G_frontal_inf_Opercular_part,220,20,100
1107,ctx_lh_G_frontal_inf_Orbital_part,140,60,60
1108,ctx_lh_G_frontal_inf_Triangular_part,180,220,140
1109,ctx_lh_G_frontal_middle,140,100,180
1110,ctx_lh_G_frontal_superior,180,20,140
1111,ctx_lh_G_frontomarginal,140,20,140
1112,ctx_lh_G_insular_long,21,10,10
1113,ctx_lh_G_insular_short,225,140,140
1114,ctx_lh_G_and_S_occipital_inferior,23,60,180
1115,ctx_lh_G_occipital_middle,180,60,180
1116,ctx_lh_G_occipital_superior,20,220,60
1117,ctx_lh_G_occipit_temp_lat_Or_fusiform,60,20,140
1118,ctx_lh_G_occipit_temp_med_Lingual_part,220,180,140
1119,ctx_lh_G_occipit_temp_med_Parahippocampal_part,65,100,20
1120,ctx_lh_G_orbital,220,60,20
1121,ctx_lh_G_paracentral,60,100,60
1122,ctx_lh_G_parietal_inferior_Angular_part,20,60,220
1123,ctx_lh_G_parietal_inferior_Supramarginal_part,100,100,60
1124,ctx_lh_G_parietal_superior,220,180,220
1125,ctx_lh_G_postcentral,20,180,140
1126,ctx_lh_G_precentral,60,140,180
1127,ctx_lh_G_precuneus,25,20,140
1128,ctx_lh_G_rectus,20,60,100
1129,ctx_lh_G_subcallosal,60,220,20
1130,ctx_lh_G_subcentral,60,20,220
1131,ctx_lh_G_temporal_inferior,220,220,100
1132,ctx_lh_G_temporal_middle,180,60,60
1133,ctx_lh_G_temp_sup_G_temp_transv_and_interm_S,60,60,220
1134,ctx_lh_G_temp_sup_Lateral_aspect,220,60,220
1135,ctx_lh_G_temp_sup_Planum_polare,65,220,60
1136,ctx_lh_G_temp_sup_Planum_tempolare,25,140,20
1137,ctx_lh_G_and_S_transverse_frontopolar,13,0,250
1138,ctx_lh_Lat_Fissure_ant_sgt_ramus_horizontal,61,20,220
1139,ctx_lh_Lat_Fissure_ant_sgt_ramus_vertical,61,20,60
1140,ctx_lh_Lat_Fissure_post_sgt,61,60,100
1141,ctx_lh_Medial_wall,25,25,25
1142,ctx_lh_Pole_occipital,140,20,60
1143,ctx_lh_Pole_temporal,220,180,20
1144,ctx_lh_S_calcarine,63,180,180
1145,ctx_lh_S_central,221,20,10
1146,ctx_lh_S_central_insula,21,220,20
1147,ctx_lh_S_cingulate_Main_part_and_Intracingulate,183,100,20
1148,ctx_lh_S_cingulate_Marginalis_part,221,20,100
1149,ctx_lh_S_circular_insula_anterior,221,60,140
1150,ctx_lh_S_circular_insula_inferior,221,20,220
1151,ctx_lh_S_circular_insula_superior,61,220,220
1152,ctx_lh_S_collateral_transverse_ant,100,200,200
1153,ctx_lh_S_collateral_transverse_post,10,200,200
1154,ctx_lh_S_frontal_inferior,221,220,20
1155,ctx_lh_S_frontal_middle,141,20,100
1156,ctx_lh_S_frontal_superior,61,220,100
1157,ctx_lh_S_frontomarginal,21,220,60
1158,ctx_lh_S_intermedius_primus_Jensen,141,60,20
1159,ctx_lh_S_intraparietal_and_Parietal_transverse,143,20,220
1160,ctx_lh_S_occipital_anterior,61,20,180
1161,ctx_lh_S_occipital_middle_and_Lunatus,101,60,220
1162,ctx_lh_S_occipital_superior_and_transversalis,21,20,140
1163,ctx_lh_S_occipito_temporal_lateral,221,140,20
1164,ctx_lh_S_occipito_temporal_medial_and_S_Lingual,141,100,220
1165,ctx_lh_S_orbital_H_shapped,101,20,20
1166,ctx_lh_S_orbital_lateral,221,100,20
1167,ctx_lh_S_orbital_medial_Or_olfactory,181,200,20
1168,ctx_lh_S_paracentral,21,180,140
1169,ctx_lh_S_parieto_occipital,101,100,180
1170,ctx_lh_S_pericallosal,181,220,20
1171,ctx_lh_S_postcentral,21,140,200
1172,ctx_lh_S_precentral_Inferior_part,21,20,240
1173,ctx_lh_S_precentral_Superior_part,21,20,200
1174,ctx_lh_S_subcentral_ant,61,180,60
1175,ctx_lh_S_subcentral_post,61,180,250
1176,ctx_lh_S_suborbital,21,20,60
1177,ctx_lh_S_subparietal,101,60,60
1178,ctx_lh_S_supracingulate,21,220,220
1179,ctx_lh_S_temporal_inferior,21,180,180
1180,ctx_lh_S_temporal_superior,223,220,60
1181,ctx_lh_S_temporal_transverse,221,60,60
2100,ctx_rh_Unknown,0,0,0
2101,ctx_rh_Corpus_callosum,50,50,50
2102,ctx_rh_G_and_S_Insula_ONLY_AVERAGE,180,20,30
2103,ctx_rh_G_cingulate_Isthmus,60,25,25
2104,ctx_rh_G_cingulate_Main_part,25,60,60
2105,ctx_rh_G_cuneus,180,20,20
2106,ctx_rh_G_frontal_inf_Opercular_part,220,20,100
2107,ctx_rh_G_frontal_inf_Orbital_part,140,60,60
2108,ctx_rh_G_frontal_inf_Triangular_part,180,220,140
2109,ctx_rh_G_frontal_middle,140,100,180
2110,ctx_rh_G_frontal_superior,180,20,140
2111,ctx_rh_G_frontomarginal,140,20,140
2112,ctx_rh_G_insular_long,21,10,10
2113,ctx_rh_G_insular_short,225,140,140
2114,ctx_rh_G_and_S_occipital_inferior,23,60,180
2115,ctx_rh_G_occipital_middle,180,60,180
2116,ctx_rh_G_occipital_superior,20,220,60
2117,ctx_rh_G_occipit_temp_lat_Or_fusiform,60,20,140
2118,ctx_rh_G_occipit_temp_med_Lingual_part,220,180,140
2119,ctx_rh_G_occipit_temp_med_Parahippocampal_part,65,100,20
2120,ctx_rh_G_orbital,220,60,20
2121,ctx_rh_G_paracentral,60,100,60
2122,ctx_rh_G_parietal_inferior_Angular_part,20,60,220
2123,ctx_rh_G_parietal_inferior_Supramarginal_part,100,100,60
2124,ctx_rh_G_parietal_superior,220,180,220
2125,ctx_rh_G_postcentral,20,180,140
2126,ctx_rh_G_precentral,60,140,180
2127,ctx_rh_G_precuneus,25,20,140
2128,ctx_rh_G_rectus,20,60,100
2129,ctx_rh_G_subcallosal,60,220,20
2130,ctx_rh_G_subcentral,60,20,220
2131,ctx_rh_G_temporal_inferior,220,220,100
2132,ctx_rh_G_temporal_middle,180,60,60
2133,ctx_rh_G_temp_sup_G_temp_transv_and_interm_S,60,60,220
2134,ctx_rh_G_temp_sup_Lateral_aspect,220,60,220
2135,ctx_rh_G_temp_sup_Planum_polare,65,220,60
2136,ctx_rh_G_temp_sup_Planum_tempolare,25,140,20
2137,ctx_rh_G_and_S_transverse_frontopolar,13,0,250
2138,ctx_rh_Lat_Fissure_ant_sgt_ramus_horizontal,61,20,220
2139,ctx_rh_Lat_Fissure_ant_sgt_ramus_vertical,61,20,60
2140,ctx_rh_Lat_Fissure_post_sgt,61,60,100
2141,ctx_rh_Medial_wall,25,25,25
2142,ctx_rh_Pole_occipital,140,20,60
2143,ctx_rh_Pole_temporal,220,180,20
2144,ctx_rh_S_calcarine,63,180,180
2145,ctx_rh_S_central,221,20,10
2146,ctx_rh_S_central_insula,21,220,20
2147,ctx_rh_S_cingulate_Main_part_and_Intracingulate,183,100,20
2148,ctx_rh_S_cingulate_Marginalis_part,221,20,100
2149,ctx_rh_S_circular_insula_anterior,221,60,140
2150,ctx_rh_S_circular_insula_inferior,221,20,220
